Shotnumber,Mixture,Date,T5,p5,O2,N2,cyC6H12,AR,CO2,C2H6,C3H6,C7H16,C8H18,nC10H22,C7H8,CO,H2

2,Lem01,2008,681,8,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
9,Lem01,2008,774,8,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
16,Lem01,2008,880,8,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
20,Lem01,2008,690,14,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
26,Lem01,2008,780,14,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
34,Lem01,2008,874,14,20.672,77.023,2.542,0,0,0,0,0,0,0,0,0,0
38,Sirjean07,2008,1449,8,9,0,0.5,90.5,0,0,0,0,0,0,0,0,0
50,Sirjean07,2008,1212,8,9,0,0.5,90.5,0,0,0,0,0,0,0,0,0
52,Sirjean07,2008,1575,8,4.5,0,0.5,95,0,0,0,0,0,0,0,0,0
66,Sirjean07,2008,1285,8,4.5,0,0.5,95,0,0,0,0,0,0,0,0,0
68,Sirjean07,2008,1739,8,2.25,0,0.5,97.25,0,0,0,0,0,0,0,0,0
75,Sirjean07,2008,1538,8,2.25,0,0.5,97.25,0,0,0,0,0,0,0,0,0
78,Daley1,2008,994,14.9,20.53,77.19,2.281,0,0,0,0,0,0,0,0,0,0
88,Daley1,2008,1166,13,20.53,77.19,2.281,0,0,0,0,0,0,0,0,0,0
90,Daley1,2008,876,55.7,20.53,77.19,2.281,0,0,0,0,0,0,0,0,0,0
99,Daley1,2008,918,55.3,20.53,77.19,2.281,0,0,0,0,0,0,0,0,0,0
104,Daley05,2008,1224,12.1,20.77,78.08,1.154,0,0,0,0,0,0,0,0,0,0
107,Daley05,2008,961,49.7,20.77,78.08,1.154,0,0,0,0,0,0,0,0,0,0
117,Daley05,2008,1131,44.1,20.77,78.08,1.154,0,0,0,0,0,0,0,0,0,0
120,Daley025,2008,1066,13.4,20.89,78.53,0.5802,0,0,0,0,0,0,0,0,0,0
127,Daley025,2008,1248,11.7,20.89,78.53,0.5802,0,0,0,0,0,0,0,0,0,0
130,Daley025,2008,1000,46.4,20.89,78.53,0.5802,0,0,0,0,0,0,0,0,0,0
135,Daley025,2008,1182,46.4,20.89,78.53,0.5802,0,0,0,0,0,0,0,0,0,0
141,AachenRCM1,2012,691.8,12.6,0.2053,0.6561,0.0228,0.1158,0,0,0,0,0,0,0,0,0
146,AachenRCM1,2012,708.4,12.7,0.2053,0.5789,0.0228,0.193,0,0,0,0,0,0,0,0,0
151,AachenRCM1,2012,725.5,13,0.2053,0.7719,0.0228,0,0,0,0,0,0,0,0,0
160,AachenRCM1,2012,749.5,13.4,0.2053,0.6947,0.0228,0.0772,0,0,0,0,0,0,0,0,0
173,AachenRCM1,2012,898.8,12.8,0.2053,0.1544,0.0228,0.6175,0,0,0,0,0,0,0,0,0
174,AachenRCM1,2012,685.1,20,0.2053,0.7719,0.0228,0,0,0,0,0,0,0,0,0,0
177,AachenRCM1,2012,698.2,20.1,0.2053,0.6947,0.0228,0.0772,0,0,0,0,0,0,0,0,0
181,AachenRCM1,2012,734.2,19,0.2053,0.7719,0.0228,0,0,0,0,0,0,0,0,0,0
188,AachenRCM1,2012,847.4,20.2,0.2053,0.3088,0.0228,0.4631,0,0,0,0,0,0,0,0,0
192,AachenRCM1,2012,907.1,20.5,0.2053,0.1389,0.0228,0.633,0,0,0,0,0,0,0,0,0
194,AachenRCM1,2012,689.3,39.9,0.2053,0.7719,0.0228,0,0,0,0,0,0,0,0,0,0
199,AachenRCM1,2012,727.3,41.7,0.2053,0.5789,0.0228,0.193,0,0,0,0,0,0,0,0,0
206,AachenRCM05,2012,706.8,20.7,0.2051,0.7835,0.0114,0,0,0,0,0,0,0,0,0,0
209,AachenRCM05,2012,775.8,20.6,0.2051,0.7835,0.0114,0,0,0,0,0,0,0,0,0,0
212,AachenRCM05,2012,860.4,20.6,0.2051,0.4701,0.0114,0.3134,0,0,0,0,0,0,0,0,0
216,AachenRCM05,2012,921,20.6,0.2051,0.3134,0.0114,0.4701,0,0,0,0,0,0,0,0,0
218,AachenRCM2,2012,674.4,19.6,0.2053,0.7491,0.0456,0,0,0,0,0,0,0,0,0,0
224,AachenRCM2,2012,750.2,20.2,0.2053,0.2996,0.0456,0.4495,0,0,0,0,0,0,0,0,0
226,DLR1,2015,1419.2,15.6098,0.9785,0.8913,0.01085,0,0,0,0,0,0,0,0,0,0
238,DLR1,2015,854.6,14.91,0.9785,0.8913,0.01085,0,0,0,0,0,0,0,0,0,0
