GroNum,PointNum,T5,p5,O2,N2,cyC6H12,AR,Phi,ExpIDT,IDTrun,ExpUn,Condition,Reference,,Cantera,,
1,1,1224,1226032.5,2077,7808,1154,0,0.5,0.000112,0.0112,0.2,IDTOHpeak,Daley05,,0.000132281,1.181080357,delete this
1,1,681,810600,20.672,77.023,2.542,0,0.5,0.053,5.3,0.2,IDTOHpeak,Lem01,,0.008064219,0.152155075,
1,2,774,810600,20672,77023,2542,0,0.5,0.047,4.7,0.2,IDTOHpeak,Lem01,,1.64E-06,3.47911E-05,
1,3,880,810600,20672,77023,2542,0,0.5,0.026,2.6,0.2,IDTOHpeak,Lem01,,0.00017819,0.006853462,
1,4,690,1418550,20672,77023,2542,0,0.5,0.037,3.7,0.2,IDTOHpeak,Lem01,,0.002811545,0.075987703,
1,5,780,1418550,20672,77023,2542,0,0.5,0.018,1.8,0.2,IDTOHpeak,Lem01,,0.000731521,0.040640056,
1,6,874,1418550,20672,77023,2542,0,0.5,0.011,1.1,0.2,IDTOHpeak,Lem01,,0.000196658,0.017878,
1,7,1449,810600,9,0,5,905,0.5,0.01,1,0.2,IDTOHpeak,Sirjean07,,0.000394605,0.0394605,
1,8,1212,810600,9,0,5,905,0.5,2.5,250,0.2,IDTOHpeak,Sirjean07,,0.004626655,0.001850662,
1,9,1575,810600,45,0,5,95,0.5,0.15,15,0.2,IDTOHpeak,Sirjean07,,0.000877049,0.005846993,
1,10,1285,810600,45,0,5,95,0.5,1,100,0.2,IDTOHpeak,Sirjean07,,0.001058466,0.001058466,
1,11,1739,810600,225,0,5,9725,0.5,0.03,3,0.2,IDTOHpeak,Sirjean07,,1.32E-05,0.000438677,
1,12,1538,810600,225,0,5,9725,0.5,0.15,15,0.2,IDTOHpeak,Sirjean07,,8.11E-05,0.000540416,
1,13,994,1509742.5,2053,7719,2281,0,0.5,0.001074,0.1074,0.2,IDTOHpeak,Daley1,,0.000268402,0.249908752,
1,14,1166,1317225,2053,7719,2281,0,0.5,0.000158,0.0158,0.2,IDTOHpeak,Daley1,,0.000137857,0.872512658,
1,15,876,5643802.5,2053,7719,2281,0,0.5,0.001282,0.1282,0.2,IDTOHpeak,Daley1,,2.72E-06,0.002122574,
1,16,918,5603272.5,2053,7719,2281,0,0.5,0.000767,0.0767,0.2,IDTOHpeak,Daley1,,2.10E-06,0.002735906,
1,17,1224,1226032.5,2077,7808,1154,0,0.5,0.000112,0.0112,0.2,IDTOHpeak,Daley05,,0.000132281,1.181080357,
1,18,961,5035852.5,2077,7808,1154,0,0.5,0.001098,0.1098,0.2,IDTOHpeak,Daley05,,0.000135812,0.123690346,
1,19,1131,4468432.5,2077,7808,1154,0,0.5,0.00013,0.013,0.2,IDTOHpeak,Daley05,,4.91E-05,0.377653077,
1,20,1066,1357755,2089,7853,5802,0,0.5,0.00109,0.109,0.2,IDTOHpeak,Daley025,,0.000199384,0.182921101,
1,21,1248,1185502.5,2089,7853,5802,0,0.5,0.000136,0.0136,0.2,IDTOHpeak,Daley025,,0.000111507,0.819904412,
1,22,1000,4701480,2089,7853,5802,0,0.5,0.001043,0.1043,0.2,IDTOHpeak,Daley025,,6.33E-05,0.060733749,
1,23,1182,4701480,2089,7853,5802,0,0.5,0.000151,0.0151,0.2,IDTOHpeak,Daley025,,2.58E-05,0.170535099,
1,24,6918,1276695,2053,6561,228,1158,0.5,0.0983,9.83,0.2,IDTOHpeak,AachenRCM1,,2.99E-08,3.04008E-07,
1,25,7084,1286827.5,2053,5789,228,193,0.5,0.0727,7.27,0.2,IDTOHpeak,AachenRCM1,,2.45E-08,3.36337E-07,
1,26,7255,1317225,2053,7719,228,0,0.5,0.0547,5.47,0.2,IDTOHpeak,AachenRCM1,,2.57E-08,4.68949E-07,
1,27,7495,1357755,2053,6947,228,772,0.5,0.0346,3.46,0.2,IDTOHpeak,AachenRCM1,,4.07E-13,1.17695E-11,
1,28,8988,1296960,2053,1544,228,6175,0.5,0.0079,0.79,0.2,IDTOHpeak,AachenRCM1,,8.59E-17,1.08795E-14,
1,29,6851,2026500,2053,7719,228,0,0.5,0.174,17.4,0.2,IDTOHpeak,AachenRCM1,,1.91E-08,1.09684E-07,
1,30,6982,2036632.5,2053,6947,228,772,0.5,0.0710424,7.10424,0.2,IDTOHpeak,AachenRCM1,,1.83E-08,2.57659E-07,
1,31,7342,1925175,2053,7719,228,0,0.5,0.02117081,2.117081,0.2,IDTOHpeak,AachenRCM1,,3.93E-13,1.85591E-11,
1,32,8474,2046765,2053,3088,228,4631,0.5,0.01328713,1.328713,0.2,IDTOHpeak,AachenRCM1,,1.54E-20,1.15874E-18,
1,33,9071,2077162.5,2053,1389,228,633,0.5,0.00447365,0.447365,0.2,IDTOHpeak,AachenRCM1,,1.90E-22,4.25538E-20,
1,34,6893,4042867.5,2053,7719,228,0,0.5,0.05713574,5.713574,0.2,IDTOHpeak,AachenRCM1,,9.45E-09,1.65464E-07,
1,35,7273,4225252.5,2053,5789,228,193,0.5,0.0075964,0.75964,0.2,IDTOHpeak,AachenRCM1,,7.10E-09,9.34631E-07,
1,36,7068,2097427.5,2051,7835,114,0,0.5,0.06340984,6.340984,0.2,IDTOHpeak,AachenRCM05,,2.56E-08,4.03254E-07,
1,37,7758,2087295,2051,7835,114,0,0.5,0.01863711,1.863711,0.2,IDTOHpeak,AachenRCM05,,0,0,
1,38,8604,2087295,2051,4701,114,3134,0.5,0.05654116,5.654116,0.2,IDTOHpeak,AachenRCM05,,3.42E-20,6.04671E-19,
1,39,921,2087295,2051,3134,114,4701,0.5,0.00662606,0.662606,0.2,IDTOHpeak,AachenRCM05,,0.002375376,0.358489962,
1,40,6744,1985970,2053,7491,456,0,0.5,0.20186237,20.186237,0.2,IDTOHpeak,AachenRCM2,,1.14E-08,5.64573E-08,
1,41,7502,2046765,2053,2996,456,4495,0.5,0.00852702,0.852702,0.2,IDTOHpeak,AachenRCM2,,6.25E-15,7.324E-13,
1,42,14192,1581662.985,9785,8913,1085,0,0.5,7.19E-08,7.19E-06,0.2,IDTOHpeak,DLR1,,1.00E-07,1.390820584,
1,43,8546,1510755.75,9785,8913,1085,0,0.5,0.00001235,0.001235,0.2,IDTOHpeak,DLR1,,3.83E-20,3.10272E-15,
